school,year,conference_name,lineage_conference_name
Newberry,1933,Independent,Independent
North Carolina,1933,Southern,Southern
North Dakota,1933,Independent,Independent
North Texas,1933,Independent,Independent
Northern Arizona,1933,Border,Border
Northern Colorado,1933,Rocky Mountain,Rocky Mountain
Northern Iowa,1933,Independent,Independent
Northwestern,1933,Western,Western
Northwestern State,1933,Independent,Independent
Norwich,1933,Independent,Independent
Notre Dame,1933,Independent,Independent
Occidental,1933,Independent,Independent
Oglethorpe,1933,Independent,Independent
Ohio,1933,Independent,Independent
Ohio Northern,1933,Independent,Independent
Ohio State,1933,Western,Western
Ohio Wesleyan,1933,Independent,Independent
Oklahoma,1933,Big 6,Big 6
Oklahoma Baptist,1933,Independent,Independent
Oklahoma City,1933,Independent,Independent
Oklahoma State,1933,Missouri Valley,Missouri Valley
Ole Miss,1933,SEC,SEC
Olympic Club,1933,Independent,Independent
Oregon,1933,Pacific,Pacific
Oregon State,1933,Pacific,Pacific
Ozarks,1933,Independent,Independent
Pacific,1933,Independent,Independent
Penn State,1933,Independent,Independent
Pennsylvania,1933,Independent,Independent
Pennsylvania Military,1933,Independent,Independent
Pittsburgh,1933,Independent,Independent
Portland,1933,Independent,Independent
Presbyterian,1933,Independent,Independent
Princeton,1933,Independent,Independent
Puget Sound,1933,Independent,Independent
Purdue,1933,Western,Western
Randolph-Macon,1933,Independent,Independent
Redlands,1933,Independent,Independent
Rhode Island,1933,Independent,Independent
Rhodes College,1933,Independent,Independent
Rice,1933,Southwest,Southwest
Richmond,1933,Independent,Independent
Roanoke,1933,Independent,Independent
Rutgers,1933,Independent,Independent
SMU,1933,Southwest,Southwest
Saint Louis,1933,Independent,Independent
Saint Mary's (CA),1933,Independent,Independent
Sam Houston,1933,Independent,Independent
Samford,1933,Independent,Independent
San Diego Marines,1933,Independent,Independent
San Diego State,1933,Independent,Independent
San Francisco,1933,Independent,Independent
San José State,1933,Independent,Independent
Santa Clara,1933,Independent,Independent
Sewanee,1933,SEC,SEC
Simpson College (IA),1933,Independent,Independent
South Carolina,1933,Southern,Southern
South Dakota State,1933,Independent,Independent
Southern Miss,1933,Independent,Independent
Southern Oregon,1933,Independent,Independent
Southwestern University,1933,Independent,Independent
Spring Hill,1933,Independent,Independent
Springfield,1933,Independent,Independent
St. Edward's,1933,Independent,Independent
St. John's (Maryland),1933,Independent,Independent
St. Lawrence,1933,Independent,Independent
Stanford,1933,Pacific,Pacific
Stetson,1933,Independent,Independent
Syracuse,1933,Independent,Independent
TCU,1933,Southwest,Southwest
Temple,1933,Independent,Independent
Tennessee,1933,SEC,SEC
Tennessee Tech,1933,Independent,Independent
Texas,1933,Southwest,Southwest
Texas A&M,1933,Southwest,Southwest
Texas A&M-Kingsville,1933,Independent,Independent
Texas Tech,1933,Border,Border
The Citadel,1933,Independent,Independent
Trinity (Texas),1933,Independent,Independent
Truman State,1933,Independent,Independent
Tulane,1933,SEC,SEC
Tulsa,1933,Independent,Independent
U.S. Marines,1933,Independent,Independent
UC Davis,1933,Independent,Independent
UCLA,1933,Pacific,Pacific
USC,1933,Pacific,Pacific
UTEP,1933,Independent,Independent
Union (Tennessee),1933,Independent,Independent
Ursinus,1933,Independent,Independent
Utah,1933,Rocky Mountain,Rocky Mountain
Utah State,1933,Rocky Mountain,Rocky Mountain
VMI,1933,Southern,Southern
Valparaiso,1933,Independent,Independent
Vanderbilt,1933,SEC,SEC
Vermont,1933,Independent,Independent
Villanova,1933,Independent,Independent
Virginia,1933,Southern,Southern
Virginia Tech,1933,Southern,Southern
Wabash College,1933,Independent,Independent
Wake Forest,1933,Independent,Independent
Washburn,1933,Independent,Independent
Washington,1933,Pacific,Pacific
Washington & Jefferson,1933,Independent,Independent
Washington State,1933,Pacific,Pacific
Washington University (St. Louis),1933,Missouri Valley,Missouri Valley
Washington and Lee,1933,Southern,Southern
Wayland Baptist,1933,Independent,Independent
Waynesburg,1933,Independent,Independent
West Chester,1933,Independent,Independent
West Seattle A.C.,1933,Independent,Independent
West Virginia,1933,Independent,Independent
West Virginia Wesleyan,1933,Independent,Independent
Western Colorado,1933,Rocky Mountain,Rocky Mountain
Western Michigan,1933,Independent,Independent
Westminster (Pennsylvania),1933,Independent,Independent
Whitman,1933,Independent,Independent
Whittier,1933,Independent,Independent
Wichita State,1933,Independent,Independent
Willamette,1933,Independent,Independent
William & Mary,1933,Independent,Independent
Williams,1933,Independent,Independent
Wisconsin,1933,Western,Western
Wofford,1933,Independent,Independent
Wyoming,1933,Rocky Mountain,Rocky Mountain
Xavier,1933,Independent,Independent
Yale,1933,Independent,Independent
Adams State,1934,Independent,Independent
Alabama,1934,SEC,SEC
Albertson,1934,Independent,Independent
Amherst,1934,Independent,Independent
Arizona,1934,Border,Border
Arizona State,1934,Border,Border
Arkansas,1934,Southwest,Southwest
Army,1934,Independent,Independent
Ashland,1934,Independent,Independent
Auburn,1934,SEC,SEC
Austin,1934,Independent,Independent
BYU,1934,Rocky Mountain,Rocky Mountain
Bates,1934,Independent,Independent
Baylor,1934,Southwest,Southwest
Birmingham-Southern,1934,Independent,Independent
Boston College,1934,Independent,Independent
Boston University,1934,Independent,Independent
Bradley,1934,Independent,Independent
Brown,1934,Independent,Independent
Bucknell,1934,Independent,Independent
Butler,1934,Independent,Independent
California,1934,Pacific,Pacific
California Tech,1934,Independent,Independent
Carleton,1934,Independent,Independent
Carnegie Mellon,1934,Independent,Independent
Carroll University (WI),1934,Independent,Independent
Catawba,1934,Independent,Independent
Catholic,1934,Independent,Independent
Centenary (LA),1934,Independent,Independent
Central Michigan,1934,Independent,Independent
Central Oklahoma,1934,Independent,Independent
Centre College Kentucky,1934,Independent,Independent
Chattanooga,1934,Independent,Independent
Chicago,1934,Western,Western
Cincinnati,1934,Independent,Independent
City College of New York,1934,Independent,Independent
Clarkson,1934,Independent,Independent
Clemson,1934,Southern,Southern
Coe College,1934,Independent,Independent
Colgate,1934,Independent,Independent
Colorado,1934,Rocky Mountain,Rocky Mountain
Colorado College,1934,Rocky Mountain,Rocky Mountain
Colorado School Of Mines,1934,Rocky Mountain,Rocky Mountain
Colorado State,1934,Rocky Mountain,Rocky Mountain
Columbia,1934,Independent,Independent
Columbia (Oregon),1934,Independent,Independent
Cornell,1934,Independent,Independent
Cornell College (IA),1934,Independent,Independent
Creighton,1934,Missouri Valley,Missouri Valley
Cumberland (TN),1934,Independent,Independent
Daniel Baker,1934,Independent,Independent
Dartmouth,1934,Independent,Independent
Davidson,1934,Independent,Independent
Davis & Elkins,1934,Independent,Independent
DePaul,1934,Independent,Independent
Denver,1934,Rocky Mountain,Rocky Mountain
Detroit Mercy,1934,Independent,Independent
Drake,1934,Missouri Valley,Missouri Valley
Duke,1934,Southern,Southern
Duquesne,1934,Independent,Independent
Eastern Washington,1934,Independent,Independent
Elon,1934,Independent,Independent
Emory & Henry College,1934,Independent,Independent
Englewood,1934,Independent,Independent
Erskine,1934,Independent,Independent
Florida,1934,SEC,SEC
Fordham,1934,Independent,Independent
Fort Hays State,1934,Independent,Independent
Fort Lewis College,1934,Independent,Independent
Fort Warren,1934,Independent,Independent
Fresno State,1934,Independent,Independent
Furman,1934,Independent,Independent
Geneva,1934,Independent,Independent
George Washington,1934,Independent,Independent
Georgetown,1934,Independent,Independent
Georgia,1934,SEC,SEC
Georgia Tech,1934,SEC,SEC
Gettysburg,1934,Independent,Independent
Gonzaga,1934,Independent,Independent
Grinnell,1934,Missouri Valley,Missouri Valley
Guilford College,1934,Independent,Independent
Hampden-Sydney,1934,Independent,Independent
Hardin-Simmons,1934,Independent,Independent
Harvard,1934,Independent,Independent
Haskell,1934,Independent,Independent
Hawai'i,1934,Independent,Independent
Hawaii All-Stars,1934,Independent,Independent
Hendrix College,1934,Independent,Independent
Holy Cross,1934,Independent,Independent
Idaho,1934,Pacific,Pacific
Idaho State,1934,Independent,Independent
Illinois,1934,Western,Western
Illinois Wesleyan,1934,Independent,Independent
Indiana,1934,Western,Western
Iowa,1934,Western,Western
Iowa State,1934,Big 6,Big 6
Johns Hopkins University,1934,Independent,Independent
Kansas,1934,Big 6,Big 6
Kansas State,1934,Big 6,Big 6
Kentucky,1934,SEC,SEC
LSU,1934,SEC,SEC
La Salle,1934,Independent,Independent
La Verne,1934,Independent,Independent
Lafayette,1934,Independent,Independent
Lebanon Valley,1934,Independent,Independent
Lehigh,1934,Independent,Independent
Louisiana College,1934,Independent,Independent
Loyola (LA),1934,Independent,Independent
Loyola Marymount,1934,Independent,Independent
Luther,1934,Independent,Independent
Maine,1934,Independent,Independent
Manhattan,1934,Independent,Independent
Marquette,1934,Independent,Independent
Maryland,1934,Southern,Southern
Maryville College (TN),1934,Independent,Independent
McDaniel,1934,Independent,Independent
McKendree,1934,Independent,Independent
McMurry,1934,Independent,Independent
Memphis,1934,Independent,Independent
Mercer,1934,Independent,Independent
Miami,1934,Independent,Independent
Miami (OH),1934,Independent,Independent
Michigan,1934,Western,Western
Michigan State,1934,Independent,Independent
Millsaps,1934,Independent,Independent
Minnesota,1934,Western,Western
Mississippi College,1934,Independent,Independent
Mississippi State,1934,SEC,SEC
Missouri,1934,Big 6,Big 6
Missouri-Rolla,1934,Independent,Independent
Montana,1934,Pacific,Pacific
Montana State,1934,Rocky Mountain,Rocky Mountain
Montana Tech,1934,Independent,Independent
Mount St. Mary's,1934,Independent,Independent
NC State,1934,Southern,Southern
Navy,1934,Independent,Independent
Nebraska,1934,Big 6,Big 6
Nevada,1934,Independent,Independent
New Hampshire,1934,Independent,Independent
New Mexico,1934,Border,Border
New Mexico Highlands,1934,Independent,Independent
New Mexico Military,1934,Independent,Independent
New Mexico State,1934,Border,Border
New York University,1934,Independent,Independent
Newberry,1934,Independent,Independent
North Carolina,1934,Southern,Southern
North Dakota,1934,Independent,Independent
North Dakota State,1934,Independent,Independent
North Dakota Teachers,1934,Independent,Independent
North Texas,1934,Independent,Independent
Northern Arizona,1934,Border,Border
Northern Colorado,1934,Rocky Mountain,Rocky Mountain
Northern Iowa,1934,Independent,Independent
Northwestern,1934,Western,Western
Northwestern State,1934,Independent,Independent
Norwich,1934,Independent,Independent
Notre Dame,1934,Independent,Independent
Occidental,1934,Independent,Independent
Oglethorpe,1934,Independent,Independent
Ohio,1934,Independent,Independent
Ohio State,1934,Western,Western
Ohio Wesleyan,1934,Independent,Independent
Oklahoma,1934,Big 6,Big 6
Oklahoma Baptist,1934,Independent,Independent
Oklahoma City,1934,Independent,Independent
Oklahoma State,1934,Missouri Valley,Missouri Valley
Ole Miss,1934,SEC,SEC
Olympic Club,1934,Independent,Independent
Oregon,1934,Pacific,Pacific
Oregon State,1934,Pacific,Pacific
Ouachita,1934,Independent,Independent
Ozarks,1934,Independent,Independent
Pacific,1934,Independent,Independent
Pacific (Oregon),1934,Independent,Independent
Penn State,1934,Independent,Independent
Pennsylvania,1934,Independent,Independent
Pennsylvania Military,1934,Independent,Independent
Pittsburgh,1934,Independent,Independent
Pomona Pitzer,1934,Independent,Independent
Portland,1934,Independent,Independent
Presbyterian,1934,Independent,Independent
Princeton,1934,Independent,Independent
Puget Sound,1934,Independent,Independent
Purdue,1934,Western,Western
Redlands,1934,Independent,Independent
Rhode Island,1934,Independent,Independent
Rhodes College,1934,Independent,Independent
Rice,1934,Southwest,Southwest
Richmond,1934,Independent,Independent
Roanoke,1934,Independent,Independent
Rollins,1934,Independent,Independent
Rutgers,1934,Independent,Independent
SMU,1934,Southwest,Southwest
Saint Louis,1934,Independent,Independent
Saint Mary's (CA),1934,Independent,Independent
Sam Houston,1934,Independent,Independent
Samford,1934,Independent,Independent
San Diego State,1934,Independent,Independent
San Francisco,1934,Independent,Independent
San José State,1934,Independent,Independent
Santa Clara,1934,Independent,Independent
Sewanee,1934,SEC,SEC
Shepherd,1934,Independent,Independent
Simpson College (IA),1934,Independent,Independent
South Carolina,1934,Southern,Southern
South Dakota,1934,Independent,Independent
South Dakota State,1934,Independent,Independent
Spring Hill,1934,Independent,Independent
Springfield,1934,Independent,Independent
St. Benedict,1934,Independent,Independent
St. Bonaventure,1934,Independent,Independent
St. Edward's,1934,Independent,Independent
St. John's (Maryland),1934,Independent,Independent
St. Lawrence,1934,Independent,Independent
St. Thomas,1934,Independent,Independent
Stanford,1934,Pacific,Pacific
Stetson,1934,Independent,Independent
Sul Ross State,1934,Independent,Independent
Syracuse,1934,Independent,Independent
TCU,1934,Southwest,Southwest
Temple,1934,Independent,Independent
Tennessee,1934,SEC,SEC
Tennessee Tech,1934,Independent,Independent
Tennessee Wesleyan,1934,Independent,Independent
Texas,1934,Southwest,Southwest
Texas A&M,1934,Southwest,Southwest
Texas A&M-Kingsville,1934,Independent,Independent
Texas Tech,1934,Border,Border
The Citadel,1934,Independent,Independent
Truman State,1934,Independent,Independent
Tulane,1934,SEC,SEC
Tulsa,1934,Independent,Independent
UC Davis,1934,Independent,Independent
UCLA,1934,Pacific,Pacific
USC,1934,Pacific,Pacific
UTEP,1934,Independent,Independent
Ursinus,1934,Independent,Independent
Utah,1934,Rocky Mountain,Rocky Mountain
Utah State,1934,Rocky Mountain,Rocky Mountain
VMI,1934,Southern,Southern
Vanderbilt,1934,SEC,SEC
Vermont,1934,Independent,Independent
Villanova,1934,Independent,Independent
Virginia,1934,Southern,Southern
Virginia Tech,1934,Southern,Southern
Wabash College,1934,Independent,Independent
Wake Forest,1934,Independent,Independent
Washburn,1934,Independent,Independent
Washington,1934,Pacific,Pacific
Washington & Jefferson,1934,Independent,Independent
Washington State,1934,Pacific,Pacific
Washington University (St. Louis),1934,Missouri Valley,Missouri Valley
Washington and Lee,1934,Southern,Southern
Wayland Baptist,1934,Independent,Independent
Waynesburg,1934,Independent,Independent
West Virginia,1934,Independent,Independent
West Virginia Wesleyan,1934,Independent,Independent
Western Colorado,1934,Rocky Mountain,Rocky Mountain
Western Michigan,1934,Independent,Independent
Western New Mexico,1934,Independent,Independent
Western Reserve,1934,Independent,Independent
Westminster (Pennsylvania),1934,Independent,Independent
Whittier,1934,Independent,Independent
Wichita State,1934,Independent,Independent
Willamette,1934,Independent,Independent
William & Mary,1934,Independent,Independent
Williams,1934,Independent,Independent
Wisconsin,1934,Western,Western
Wofford,1934,Independent,Independent
Wooster,1934,Independent,Independent
Wyoming,1934,Rocky Mountain,Rocky Mountain
Xavier,1934,Independent,Independent
Yale,1934,Independent,Independent
Adams State,1935,Independent,Independent
Alabama,1935,SEC,SEC
Albright,1935,Independent,Independent
Arizona,1935,Border,Border
Arizona State,1935,Border,Border
Arkansas,1935,Southwest,Southwest
Arkansas State,1935,Independent,Independent
Army,1935,Independent,Independent
Auburn,1935,SEC,SEC
Austin,1935,Independent,Independent
BYU,1935,Rocky Mountain,Rocky Mountain
Baker,1935,Independent,Independent
Bates,1935,Independent,Independent
Baylor,1935,Southwest,Southwest
Birmingham-Southern,1935,Independent,Independent
Boston College,1935,Independent,Independent
Boston University,1935,Independent,Independent
Bradley,1935,Independent,Independent
Brown,1935,Independent,Independent
Bucknell,1935,Independent,Independent
Cal Poly,1935,Independent,Independent
Cal Poly-Pomona,1935,Independent,Independent
California,1935,Pacific,Pacific
California Tech,1935,Independent,Independent
Carleton,1935,Independent,Independent
Carnegie Mellon,1935,Independent,Independent
Carroll University (WI),1935,Independent,Independent
Case,1935,Independent,Independent
Catawba,1935,Independent,Independent
Catholic,1935,Independent,Independent
Centenary (LA),1935,Independent,Independent
Central (Iowa),1935,Independent,Independent
Central Michigan,1935,Independent,Independent
Central Missouri,1935,Independent,Independent
Central Oklahoma,1935,Independent,Independent
Centre College Kentucky,1935,Independent,Independent
Chadron St,1935,Independent,Independent
Chattanooga,1935,Independent,Independent
Chicago,1935,Western,Western
Cincinnati,1935,Independent,Independent
City College of New York,1935,Independent,Independent
Clarkson,1935,Independent,Independent
Clemson,1935,Southern,Southern
Coe College,1935,Independent,Independent
Colgate,1935,Independent,Independent
Colorado,1935,Rocky Mountain,Rocky Mountain
Colorado College,1935,Rocky Mountain,Rocky Mountain
Colorado School Of Mines,1935,Rocky Mountain,Rocky Mountain
Colorado State,1935,Rocky Mountain,Rocky Mountain
Columbia,1935,Independent,Independent
Cornell,1935,Independent,Independent
Cornell College (IA),1935,Independent,Independent
Creighton,1935,Missouri Valley,Missouri Valley
Cumberland (TN),1935,Independent,Independent
Daniel Baker,1935,Independent,Independent
Dartmouth,1935,Independent,Independent
Davidson,1935,Independent,Independent
Davis & Elkins,1935,Independent,Independent
DePaul,1935,Independent,Independent
Denver,1935,Rocky Mountain,Rocky Mountain
Detroit Mercy,1935,Independent,Independent
Drake,1935,Missouri Valley,Missouri Valley
Duke,1935,Southern,Southern
Duquesne,1935,Independent,Independent
Eastern New Mexico,1935,Independent,Independent
Eastern Washington,1935,Independent,Independent
Elon,1935,Independent,Independent
Emory & Henry College,1935,Independent,Independent
Emporia State University,1935,Independent,Independent
Erskine,1935,Independent,Independent
Florida,1935,SEC,SEC
Fordham,1935,Independent,Independent
Fort Hays State,1935,Independent,Independent
Fort Lewis College,1935,Independent,Independent
Fort Warren,1935,Independent,Independent
Franklin & Marshall,1935,Independent,Independent
Fresno State,1935,Independent,Independent
Furman,1935,Independent,Independent
George Washington,1935,Independent,Independent
Georgetown,1935,Independent,Independent
Georgetown (Kentucky),1935,Independent,Independent
Georgia,1935,SEC,SEC
Georgia Tech,1935,SEC,SEC
Gettysburg,1935,Independent,Independent
Gonzaga,1935,Independent,Independent
Grinnell,1935,Missouri Valley,Missouri Valley
Guilford College,1935,Independent,Independent
Hampden-Sydney,1935,Independent,Independent
Hardin-Simmons,1935,Independent,Independent
Harvard,1935,Independent,Independent
Haskell,1935,Independent,Independent
Hawai'i,1935,Independent,Independent
Holy Cross,1935,Independent,Independent
Howard Payne,1935,Independent,Independent
Idaho,1935,Pacific,Pacific
Idaho State,1935,Independent,Independent
Illinois,1935,Western,Western
Illinois Wesleyan,1935,Independent,Independent
Indiana,1935,Western,Western
Iowa,1935,Western,Western
Iowa State,1935,Big 6,Big 6
Kamehameha Alumni,1935,Independent,Independent
Kansas,1935,Big 6,Big 6
Kansas State,1935,Big 6,Big 6
Kentucky,1935,SEC,SEC
LSU,1935,SEC,SEC
La Salle,1935,Independent,Independent
Lafayette,1935,Independent,Independent
Lebanon Valley,1935,Independent,Independent
Lehigh,1935,Independent,Independent
Linfield College,1935,Independent,Independent
Louisiana,1935,Independent,Independent
Louisiana College,1935,Independent,Independent
Loyola (LA),1935,Independent,Independent
Loyola Marymount,1935,Independent,Independent
Manhattan,1935,Independent,Independent
Marquette,1935,Independent,Independent
Maryland,1935,Southern,Southern
Maryville College (TN),1935,Independent,Independent
McDaniel,1935,Independent,Independent
McKendree,1935,Independent,Independent
Memphis,1935,Independent,Independent
Mercer,1935,Independent,Independent
Miami,1935,Independent,Independent
Michigan,1935,Western,Western
Michigan State,1935,Independent,Independent
Millsaps,1935,Independent,Independent
Minnesota,1935,Western,Western
Mississippi College,1935,Independent,Independent
Mississippi State,1935,SEC,SEC
Missouri,1935,Big 6,Big 6
Missouri-Rolla,1935,Independent,Independent
Montana,1935,Pacific,Pacific
Montana State,1935,Rocky Mountain,Rocky Mountain
Montana Tech,1935,Independent,Independent
Muhlenberg,1935,Independent,Independent
NC State,1935,Southern,Southern
Navy,1935,Independent,Independent
Nebraska,1935,Big 6,Big 6
Nebraska Wesleyan,1935,Independent,Independent
Nevada,1935,Independent,Independent
New Hampshire,1935,Independent,Independent
New Mexico,1935,Border,Border
New Mexico Highlands,1935,Independent,Independent
New Mexico Military,1935,Independent,Independent
New Mexico State,1935,Border,Border
New York University,1935,Independent,Independent
Newberry,1935,Independent,Independent
Niagara,1935,Independent,Independent
North Carolina,1935,Southern,Southern
North Dakota,1935,Independent,Independent
North Dakota State,1935,Independent,Independent
North Texas,1935,Independent,Independent
Northern Arizona,1935,Border,Border
Northern Colorado,1935,Rocky Mountain,Rocky Mountain
Northern Iowa,1935,Independent,Independent
Northwestern,1935,Western,Western
Northwestern Oklahoma State,1935,Independent,Independent
Northwestern State,1935,Independent,Independent
Norwich,1935,Independent,Independent
Notre Dame,1935,Independent,Independent
Occidental,1935,Independent,Independent
Oglethorpe,1935,Independent,Independent
Ohio,1935,Independent,Independent
Ohio State,1935,Western,Western
Ohio Wesleyan,1935,Independent,Independent
Oklahoma,1935,Big 6,Big 6
Oklahoma City,1935,Independent,Independent
Oklahoma State,1935,Missouri Valley,Missouri Valley
Ole Miss,1935,SEC,SEC
Oregon,1935,Pacific,Pacific
Oregon State,1935,Pacific,Pacific
Ozarks,1935,Independent,Independent
Pacific,1935,Independent,Independent
Penn State,1935,Independent,Independent
Pennsylvania,1935,Independent,Independent
Pennsylvania Military,1935,Independent,Independent
Piedmont,1935,Independent,Independent
Pittsburg St,1935,Independent,Independent
Pittsburgh,1935,Independent,Independent
Portland,1935,Independent,Independent
Presbyterian,1935,Independent,Independent
Princeton,1935,Independent,Independent
Puget Sound,1935,Independent,Independent
Purdue,1935,Western,Western
Randolph-Macon,1935,Independent,Independent
Redlands,1935,Independent,Independent
Rhode Island,1935,Independent,Independent
Rhodes College,1935,Independent,Independent
Rice,1935,Southwest,Southwest
Richmond,1935,Independent,Independent
Roanoke,1935,Independent,Independent
Rutgers,1935,Independent,Independent
SMU,1935,Southwest,Southwest
Saint Louis,1935,Independent,Independent
Saint Mary's (CA),1935,Independent,Independent
Sam Houston,1935,Independent,Independent
Samford,1935,Independent,Independent
San Diego State,1935,Independent,Independent
San Francisco,1935,Independent,Independent
San José State,1935,Independent,Independent
Santa Clara,1935,Independent,Independent
Sewanee,1935,SEC,SEC
Simpson College (IA),1935,Independent,Independent
South Carolina,1935,Southern,Southern
South Dakota,1935,Independent,Independent
South Dakota State,1935,Independent,Independent
Southeastern Oklahoma State,1935,Independent,Independent
Southern Miss,1935,Independent,Independent
Southwestern University,1935,Independent,Independent
Spring Hill,1935,Independent,Independent
Springfield,1935,Independent,Independent
St. Benedict,1935,Independent,Independent
St. John's (Maryland),1935,Independent,Independent
St. Joseph's (Pennsylvania),1935,Independent,Independent
St. Lawrence,1935,Independent,Independent
St. Mary's (Texas),1935,Independent,Independent
Stanford,1935,Pacific,Pacific
Stephen F. Austin,1935,Independent,Independent
Stetson,1935,Independent,Independent
Sul Ross State,1935,Independent,Independent
Syracuse,1935,Independent,Independent
TCU,1935,Southwest,Southwest
Temple,1935,Independent,Independent
Tennessee,1935,SEC,SEC
Tennessee Tech,1935,Independent,Independent
Tennessee Wesleyan,1935,Independent,Independent
Texas,1935,Southwest,Southwest
Texas A&M,1935,Southwest,Southwest
Texas A&M-Kingsville,1935,Independent,Independent
Texas Tech,1935,Border,Border
The Citadel,1935,Independent,Independent
Transylvania,1935,Independent,Independent
Troy,1935,Independent,Independent
Truman State,1935,Independent,Independent
Tulane,1935,SEC,SEC
Tulsa,1935,Missouri Valley,Missouri Valley
UC Davis,1935,Independent,Independent
UCLA,1935,Pacific,Pacific
USC,1935,Pacific,Pacific
UTEP,1935,Border,Border
Union (Tennessee),1935,Independent,Independent
Upper Iowa University,1935,Independent,Independent
Ursinus,1935,Independent,Independent
Utah,1935,Rocky Mountain,Rocky Mountain
Utah State,1935,Rocky Mountain,Rocky Mountain
VMI,1935,Southern,Southern
Vanderbilt,1935,SEC,SEC
Vermont,1935,Independent,Independent
Villanova,1935,Independent,Independent
Virginia,1935,Southern,Southern
Virginia Tech,1935,Southern,Southern
Wake Forest,1935,Independent,Independent
Washburn,1935,Missouri Valley,Missouri Valley
Washington,1935,Pacific,Pacific
Washington & Jefferson,1935,Independent,Independent
Washington State,1935,Pacific,Pacific
Washington University (St. Louis),1935,Missouri Valley,Missouri Valley
Washington and Lee,1935,Southern,Southern
Waynesburg,1935,Independent,Independent
West Texas A&M,1935,Independent,Independent
West Virginia,1935,Independent,Independent
West Virginia Wesleyan,1935,Independent,Independent
Western Colorado,1935,Rocky Mountain,Rocky Mountain
Western Kentucky,1935,Independent,Independent
Western Michigan,1935,Independent,Independent
Western New Mexico,1935,Independent,Independent
Western Reserve,1935,Independent,Independent
Whitman,1935,Independent,Independent
Whittier,1935,Independent,Independent
Wichita State,1935,Independent,Independent
Willamette,1935,Independent,Independent
William & Mary,1935,Independent,Independent
William Jewell,1935,Independent,Independent
Williams,1935,Independent,Independent
Wisconsin,1935,Western,Western
Wofford,1935,Independent,Independent
Wyoming,1935,Rocky Mountain,Rocky Mountain
Xavier,1935,Independent,Independent
Yale,1935,Independent,Independent
Adams State,1936,Independent,Independent
Alabama,1936,SEC,SEC
Alfred University,1936,Independent,Independent
Amherst,1936,Independent,Independent
Arizona,1936,Border,Border
Arizona State,1936,Border,Border
Arkansas,1936,Southwest,Southwest
Army,1936,Independent,Independent
Auburn,1936,SEC,SEC
BYU,1936,Rocky Mountain,Rocky Mountain
Baldwin Wallace,1936,Independent,Independent
Bates,1936,Independent,Independent
Baylor,1936,Southwest,Southwest
Birmingham-Southern,1936,Independent,Independent
Boston College,1936,Independent,Independent
Boston University,1936,Independent,Independent
Bradley,1936,Independent,Independent
Brown,1936,Independent,Independent
Bucknell,1936,Independent,Independent
Butler,1936,Independent,Independent
California,1936,Pacific,Pacific
California Tech,1936,Independent,Independent
California-Santa Barbara,1936,Independent,Independent
Carleton,1936,Independent,Independent
Carnegie Mellon,1936,Independent,Independent
Catawba,1936,Independent,Independent
Catholic,1936,Independent,Independent
Centenary (LA),1936,Independent,Independent
Central (Iowa),1936,Independent,Independent
Central Oklahoma,1936,Independent,Independent
Centre College Kentucky,1936,Independent,Independent
Chadron St,1936,Independent,Independent
Chattanooga,1936,Independent,Independent
Chicago,1936,Western,Western
Cincinnati,1936,Independent,Independent
City College of New York,1936,Independent,Independent
Clarkson,1936,Independent,Independent
Clemson,1936,Southern,Southern
Coe College,1936,Independent,Independent
Colby College,1936,Independent,Independent
Colgate,1936,Independent,Independent
Colorado,1936,Rocky Mountain,Rocky Mountain
Colorado College,1936,Rocky Mountain,Rocky Mountain
Colorado School Of Mines,1936,Rocky Mountain,Rocky Mountain
Colorado State,1936,Rocky Mountain,Rocky Mountain
Columbia,1936,Independent,Independent
Cornell,1936,Independent,Independent
Cornell College (IA),1936,Independent,Independent
Creighton,1936,Missouri Valley,Missouri Valley
Dartmouth,1936,Independent,Independent
Davidson,1936,Southern,Southern
Davis & Elkins,1936,Independent,Independent
DePaul,1936,Independent,Independent
Delaware,1936,Independent,Independent
Denver,1936,Rocky Mountain,Rocky Mountain
Detroit Mercy,1936,Independent,Independent
Drake,1936,Missouri Valley,Missouri Valley
Duke,1936,Southern,Southern
Duquesne,1936,Independent,Independent
Eastern Washington,1936,Independent,Independent
Elon,1936,Independent,Independent
Emory & Henry College,1936,Independent,Independent
Emporia State University,1936,Independent,Independent
Erskine,1936,Independent,Independent
Florida,1936,SEC,SEC
Fordham,1936,Independent,Independent
Fort Hays State,1936,Independent,Independent
Franklin & Marshall,1936,Independent,Independent
Fresno State,1936,Independent,Independent
Furman,1936,Southern,Southern
Geneva,1936,Independent,Independent
George Washington,1936,Independent,Independent
Georgetown,1936,Independent,Independent
Georgia,1936,SEC,SEC
Georgia Southern,1936,Independent,Independent
Georgia Tech,1936,SEC,SEC
Gonzaga,1936,Independent,Independent
Grinnell,1936,Missouri Valley,Missouri Valley
Guilford College,1936,Independent,Independent
Hampden-Sydney,1936,Independent,Independent
Hardin-Simmons,1936,Independent,Independent
Harvard,1936,Independent,Independent
Hobart College,1936,Independent,Independent
Holy Cross,1936,Independent,Independent
Howard Payne,1936,Independent,Independent
Idaho,1936,Pacific,Pacific
Idaho State,1936,Independent,Independent
Illinois,1936,Western,Western
Illinois Wesleyan,1936,Independent,Independent
Indiana,1936,Western,Western
Iowa,1936,Western,Western
Iowa State,1936,Big 6,Big 6
Kansas,1936,Big 6,Big 6
